,date,description,amount
305,2022-07-25,DEBIT CARD PURCHASE EVENT GIFT SHOP Sydney,100.0
306,2022-07-25,DEBIT CARD PURCHASE WOOLWORTHS      0000 STH MELBOURN,9.38
307,2022-07-26,DEBIT CARD PURCHASE POSTAL HALL MELBOURNE,5.5
308,2022-07-26,DEBIT CARD PURCHASE HOTELS PT  MELBOU,78.0
309,2022-07-26,DEBIT CARD PURCHASE ZLR*Deep Blue Seafood Melbourne,11.11
310,2022-07-27,DEBIT CARD PURCHASE ONA Coffee Melbourne Brunswick,5.84
311,2022-07-27,DEBIT CARD PURCHASE SQ *MISOYA SAKE BAR BR Brunswick,23.83
312,2022-07-28,DEBIT CARD PURCHASE ONA Coffee Melbourne Brunswick,5.84
313,2022-07-28,DEBIT CARD PURCHASE SQ *ST. ALI & THE QUEE Melbourne,13.01
314,2022-07-29,DEBIT CARD PURCHASE SQ *ROSSO ESPRESSO BAR Melbourne,4.5
315,2022-07-30,DEBIT CARD PURCHASE The Journal Cafe Melbourne,5.99
316,2022-07-30,DEBIT CARD PURCHASE ZLR*Andrew's Bread Sh Melbourne,7.68
317,2022-07-31,DEBIT CARD PURCHASE SQ *PAUSE & SIP BY WHI Melbourne,4.44
318,2022-08-01,DEBIT CARD PURCHASE ONA Coffee Melbourne Brunswick,5.84
319,2022-08-01,DEBIT CARD PURCHASE D AND C APOLLOWINGS PT MELBOURNE,18.87
320,2022-08-02,DEBIT CARD PURCHASE The league of honest c Melbourne,4.75
321,2022-08-02,PAYMENT BY AUTHORITY TO Vodafone Aus,64.99
322,2022-08-03,DEBIT CARD PURCHASE SQ *PAUSE & SIP BY WHI Melbourne,4.44
323,2022-08-03,DEBIT CARD PURCHASE AP ST KILDA ROAD PS MELBOURNE,19.95
324,2022-08-04,DEBIT CARD PURCHASE SQ *BROTHER BABA BUDAN Melbourne,5.06
325,2022-08-04,DEBIT CARD PURCHASE JB HI FI BOURKE STRE MELBOURNE,96.48
326,2022-08-05,DEBIT CARD PURCHASE SQ *LITTLE NIC         West Melbour,4.35
327,2022-08-06,DEBIT CARD PURCHASE Carl Timber+Greens Carlton,4.38
328,2022-08-07,DEBIT CARD PURCHASE SQ *LITTLE NIC         West Melbour,4.35
329,2022-08-07,DEBIT CARD PURCHASE Readings Hawthorn,49.98
330,2022-08-07,DEBIT CARD PURCHASE ALDI STORES - WEST MEL WEST MELBOUR,42.34
331,2022-08-08,DEBIT CARD PURCHASE ZANE COFFEE            SOUTH MORANG,4.0
332,2022-08-08,DEBIT CARD PURCHASE Chiki Chiki Melbourne,12.0
333,2022-08-08,DEBIT CARD PURCHASE WOOLWORTHS      0000 STH MELBOURN,9.38
334,2022-08-09,DEBIT CARD PURCHASE ONA Coffee Melbourne Brunswick,5.84
335,2022-08-10,DEBIT CARD PURCHASE Carl Timber+Greens Carlton,4.38
336,2022-08-10,DEBIT CARD PURCHASE MINISO MELB CENTRAL MELBOURNE,14.99
337,2022-08-11,DEBIT CARD PURCHASE The Journal Cafe Melbourne,5.99
338,2022-08-11,EFTPOS DEBIT 0000000 MYKI MELBOURNE,90.0
339,2022-08-12,DEBIT CARD PURCHASE SQ *DUKES COFFEE ROAST Melbourne,5.0
340,2022-08-12,DEBIT CARD PURCHASE CROWN ASIAN SUPERMAR MELBOURNE,15.42
341,2022-08-12,DEBIT CARD PURCHASE Spotify Sydney,18.99
342,2022-08-13,DEBIT CARD PURCHASE ZANE COFFEE            SOUTH MORANG,4.0
343,2022-08-13,DEBIT CARD PURCHASE PACOS TACOS RINGWOOD,35.65
344,2022-08-13,EFTPOS DEBIT 0000000 MYKI MELBOURNE,90.0
345,2022-08-14,DEBIT CARD PURCHASE SQ *BOURKE AND WILLS Melbourne,4.57
346,2022-08-14,DEBIT CARD PURCHASE FOOD FACTORY MELBOURNE,25.24
347,2022-08-15,DEBIT CARD PURCHASE PROFESSORS WALK CAFE PARKVILLE,4.6
348,2022-08-15,DEBIT CARD PURCHASE EVENT GIFT SHOP Sydney,100.0
349,2022-08-16,DEBIT CARD PURCHASE SQ *LE MIEL ET LA LUNE Carlton,4.59
350,2022-08-17,DEBIT CARD PURCHASE MILKY JOE'S MELBOURNE,4.3
351,2022-08-17,EFTPOS DEBIT 0000000 UBER* TRIP,21.6
352,2022-08-18,DEBIT CARD PURCHASE Timber and Greens Collingwood,4.5
353,2022-08-19,DEBIT CARD PURCHASE The league of honest c Melbourne,4.75
354,2022-08-19,DEBIT CARD PURCHASE Uniqlo Australia Pty L Melbourne,99.85
355,2022-08-20,DEBIT CARD PURCHASE SQ *THE STUDIO BEANS C Carlton,5.0
356,2022-08-20,DEBIT CARD PURCHASE ZLR*Andrew's Bread Sh Melbourne,7.68
357,2022-08-20,DEBIT CARD PURCHASE MINISO MELB CENTRAL MELBOURNE,14.99
358,2022-08-21,DEBIT CARD PURCHASE SQ *BROTHER BABA BUDAN Melbourne,5.06
359,2022-08-21,DEBIT CARD PURCHASE ENSO INTERNATIONAL GRO MELBOURNE,24.0
360,2022-08-22,DEBIT CARD PURCHASE CATHEDRAL COFFEE MELBOURNE,4.5
361,2022-08-22,DEBIT CARD PURCHASE SQ *PONDOK NASI BAKAR South Melbou,20.72
362,2022-08-22,DEBIT CARD PURCHASE MATE COMMUNICATE PTY,75.0
363,2022-08-23,DEBIT CARD PURCHASE ONA Coffee Melbourne Brunswick,5.84
364,2022-08-23,DEBIT CARD PURCHASE HELLENIC DELI MELBOURNE,20.04
365,2022-08-24,DEBIT CARD PURCHASE PROFESSORS WALK CAFE PARKVILLE,4.6
366,2022-08-24,DEBIT CARD PURCHASE SUSHI HUB SWANSTON MELBOURNE,12.4
367,2022-08-24,DEBIT CARD PURCHASE VIC MEAT SUPPLY P/L MELBOURNE,12.0
368,2022-08-25,DEBIT CARD PURCHASE AXIL COFFEE Melbourne,5.15
369,2022-08-25,EFTPOS DEBIT 0000000 UBER* TRIP,21.6
370,2022-08-26,DEBIT CARD PURCHASE In a Rush Melbourne,4.56
371,2022-08-26,DEBIT CARD PURCHASE SQ *THE VEGIE BAR Fitzroy,23.33
372,2022-08-27,DEBIT CARD PURCHASE SQ *LE MIEL ET LA LUNE Carlton,4.59
373,2022-08-28,DEBIT CARD PURCHASE ONA Coffee Melbourne Brunswick,5.84
374,2022-08-29,DEBIT CARD PURCHASE SQ *BOURKE AND WILLS Melbourne,4.57
375,2022-08-30,DEBIT CARD PURCHASE SQ *DUKES COFFEE ROAST Melbourne,5.0
376,2022-08-31,DEBIT CARD PURCHASE EMPORIUM ESPRESSO PL MELBOURNE,5.3
377,2022-08-31,DEBIT CARD PURCHASE PHO GANH MELBOURNE,19.36
378,2022-08-31,DEBIT CARD PURCHASE MACPAC MELBOURNE MELBOURNE,48.7
379,2022-08-31,DEBIT CARD PURCHASE CROWN ASIAN SUPERMAR MELBOURNE,15.42
380,2022-09-01,DEBIT CARD PURCHASE PROFESSORS WALK CAFE PARKVILLE,4.6
381,2022-09-01,DEBIT CARD PURCHASE Green Refectory BRUNSWICK,8.14
382,2022-09-02,DEBIT CARD PURCHASE ONA Coffee Melbourne Brunswick,5.84
383,2022-09-02,DEBIT CARD PURCHASE SQ *ST. ALI & THE QUEE Melbourne,13.01
384,2022-09-02,PAYMENT BY AUTHORITY TO Vodafone Aus,64.99
